Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,27,0,26000,31450.351388888525,10705.326700001024,73458.30429999842,379.18518518518516,0.12289307379083515,0.0,26000,32000,35000,38000,60000,67000,73000,73000,73000,73000,73000
,Aggregated,27,0,26000,31450.351388888525,10705.326700001024,73458.30429999842,379.18518518518516,0.12289307379083515,0.0,26000,32000,35000,38000,60000,67000,73000,73000,73000,73000,73000
