Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787839697,4,,Aggregated,0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,1,0,10705.326700001024,10705.326700001024,10705.326700001024,10705.326700001024,379.0
1787839698,4,,Aggregated,0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,1,0,10705.326700001024,10705.326700001024,10705.326700001024,10705.326700001024,379.0
1787839699,4,,Aggregated,0.100000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,2,0,11000,13676.899950000006,10705.326700001024,16648.47319999899,335.5
1787839700,4,,Aggregated,0.100000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,2,0,11000,13676.899950000006,10705.326700001024,16648.47319999899,335.5
1787839701,4,,Aggregated,0.100000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,2,0,11000,13676.899950000006,10705.326700001024,16648.47319999899,335.5
1787839702,4,,Aggregated,0.100000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,2,0,11000,13676.899950000006,10705.326700001024,16648.47319999899,335.5
1787839703,4,,Aggregated,0.100000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,2,0,11000,13676.899950000006,10705.326700001024,16648.47319999899,335.5
1787839704,4,,Aggregated,0.100000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,2,0,11000,13676.899950000006,10705.326700001024,16648.47319999899,335.5
1787839705,4,,Aggregated,0.100000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,2,0,11000,13676.899950000006,10705.326700001024,16648.47319999899,335.5
1787839706,4,,Aggregated,0.100000,0.000000,17000,17000,23000,23000,23000,23000,23000,23000,23000,23000,23000,3,0,17000,16788.10053333291,10705.326700001024,23010.501699998713,328.6666666666667
1787839707,4,,Aggregated,0.100000,0.000000,17000,17000,23000,23000,23000,23000,23000,23000,23000,23000,23000,3,0,17000,16788.10053333291,10705.326700001024,23010.501699998713,328.6666666666667
1787839708,4,,Aggregated,0.100000,0.000000,17000,17000,23000,23000,23000,23000,23000,23000,23000,23000,23000,3,0,17000,16788.10053333291,10705.326700001024,23010.501699998713,328.6666666666667
1787839709,4,,Aggregated,0.100000,0.000000,17000,17000,23000,23000,23000,23000,23000,23000,23000,23000,23000,3,0,17000,16788.10053333291,10705.326700001024,23010.501699998713,328.6666666666667
1787839710,4,,Aggregated,0.100000,0.000000,17000,17000,23000,23000,23000,23000,23000,23000,23000,23000,23000,3,0,17000,16788.10053333291,10705.326700001024,23010.501699998713,328.6666666666667
1787839711,4,,Aggregated,0.100000,0.000000,17000,17000,23000,23000,23000,23000,23000,23000,23000,23000,23000,3,0,17000,16788.10053333291,10705.326700001024,23010.501699998713,328.6666666666667
1787839712,4,,Aggregated,0.100000,0.000000,17000,17000,23000,23000,23000,23000,23000,23000,23000,23000,23000,3,0,17000,16788.10053333291,10705.326700001024,23010.501699998713,328.6666666666667
